degree,dofs,level,nu,E,gamma,errorStandard,errorStress
5,1362,0,0.3,1.0,1000.0,0.0008435408789867146,0.0011648210735893383
5,1362,0,0.49,1.0,1000.0,0.0018357424199782748,0.0040916151544348215
5,1362,0,0.4999,1.0,1000.0,0.002322243800629749,0.005417606328122099
5,1362,0,0.499999,1.0,1000.0,0.002329417160783654,0.0054372240642365025
5,1362,0,0.5,1.0,1000.0,0.0010159584578583894,0.0009649661429260936
5,5282,1,0.3,1.0,1000.0,2.727425215246596e-05,3.827725733107548e-05
5,5282,1,0.49,1.0,1000.0,7.088354173455578e-05,0.00017341542780997332
5,5282,1,0.4999,1.0,1000.0,0.00010049150768611594,0.0002547956937682647
5,5282,1,0.499999,1.0,1000.0,0.00010095725159873016,0.0002560649220028559
5,5282,1,0.5,1.0,1000.0,3.7880346546797975e-05,3.6000118478548364e-05
5,20802,2,0.3,1.0,1000.0,8.528285333340002e-07,1.2100567108792352e-06
5,20802,2,0.49,1.0,1000.0,2.480687596241251e-06,6.32658526681629e-06
5,20802,2,0.4999,1.0,1000.0,3.7611753167328147e-06,9.850863004088167e-06
5,20802,2,0.499999,1.0,1000.0,3.7820121999512894e-06,9.907610416655406e-06
5,20802,2,0.5,1.0,1000.0,1.3186164775679683e-06,1.2558862537150137e-06
