degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
2,258,0,0.3,1.0,1000.0,0.1649580890135299,inf
2,258,0,0.49,1.0,1000.0,0.30793063292468664,inf
2,258,0,0.4999,1.0,1000.0,0.3889616525986507,inf
2,258,0,0.499999,1.0,1000.0,0.3902090818702819,inf
2,258,0,0.5,1.0,1000.0,0.39022179783923955,0.2064678647549236
2,962,1,0.3,1.0,1000.0,0.04498162449819317,inf
2,962,1,0.49,1.0,1000.0,0.10349127183285102,inf
2,962,1,0.4999,1.0,1000.0,0.1814806480550603,inf
2,962,1,0.499999,1.0,1000.0,0.18411061298198456,inf
2,962,1,0.5,1.0,1000.0,0.1841394466437552,0.15700836635371698
2,3714,2,0.3,1.0,1000.0,0.011392637044592277,inf
2,3714,2,0.49,1.0,1000.0,0.026548457762962156,inf
2,3714,2,0.4999,1.0,1000.0,0.08510602332410784,inf
2,3714,2,0.499999,1.0,1000.0,0.0897191833501161,inf
2,3714,2,0.5,1.0,1000.0,0.08977897631358724,0.15425530255534037
